,Comp_Name,Div_Rate,Div_Yield,Ex_Div,Industry,Price,Price2Book,QuickRatio,Sector,Ticker,Tot.Cash/Share,FCF
99,Mastercard Incorporated (MA),1.76,0.46,2021-04-08,Credit Services,387.06,60.26,1.26,Financial Services,ma,10.67,6.52B
100,"American Water Works Company, I (AWK)",2.20,1.38,2021-02-05,Utilities\xe2\x80\x94Regulated Water,159.36,4.48,0.39,Utilities,awk,3.08,-502.00M
101,"Lument Finance Trust, Inc. (LFT)",0.36,9.63,2021-03-30,REIT\xe2\x80\x94Mortgage,3.77,0,108.45,Real Estate,lft,0.46,12.22M
102,A.O. Smith Corporation (AOS),1.04,1.52,2021-04-29,Specialty Industrial Machinery,68.36,5.98,1.44,Industrials,aos,4.26,505.30M
103,"Altria Group, Inc. (MO)",3.44,7.40,2021-03-24,Tobacco,47.39,31.01,0.56,Consumer Defensive,mo,2.66,8.15B
104,Oasis Midstream Partners LP (OMP),2.16,10.20,2021-03-05,Oil & Gas Midstream,21.18,3.01,1.51,Energy,omp,0.15,157.04M
105,ROYAL DUTCH SHELLA (RDSA.AS),0.59,3.71,2021-02-18,Oil & Gas Integrated,15.72,0.79,0.83,Energy,rdsa.as,4.09,17.52B
106,"General Mills, Inc. (GIS)",2.04,3.29,2021-04-08,Packaged Foods,61.26,4.22,0.47,Consumer Defensive,gis,4.51,3.22B
107,Antero Midstream Corporation (AM),0.90,10.04,2021-04-27,Oil & Gas Midstream,8.98,1.77,0.98,Energy,am,0,556.66M
108,"Global Net Lease, Inc. (GNL)",1.60,8.44,2021-04-09,REIT\xe2\x80\x94Office,19.01,1.11,3.38,Real Estate,gnl,1.37,170.47M
109,Cushing Renaissance Fund (The),2.56,5.80,2020-06-12,Asset Management,44.10,0,0,Financial Services,szc,0,-6.45M
110,17547 (FEN),1.20,8.52,2021-04-22,Asset Management,13.73,1.09,1.71,Financial Services,fen,0.33,120.74M
111,"Presidio Property Trust, Inc. (SQFT)",0.40,12.83,2021-03-08,REIT\xe2\x80\x94Diversified,3.25,0,1.29,Real Estate,sqft,0.75,3.69M
112,Capital Product Partners L.P. (CPLP),0.65,5.32,2021-02-01,Marine Shipping,12.31,0.53,0.83,Industrials,cplp,2.6,-104.56M
113,"Reinsurance Group of America, I (RGA)",2.80,2.16,2021-02-17,Insurance\xe2\x80\x94Reinsurance,129.60,0.61,0.81,Financial Services,rga,53.48,3.29B
